site,country,year,plot,an_yield,an_CP_l,an_NDF_C,an_ADF_C,an_IVTD_C,an_IVCWD_C,an_CP_C,an_NDF_K,an_ADF_K,an_CP_K
1,Belgium,2004,39,8.131461037,19.88748571,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,40,19.7442728,12.45399149,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,41,19.61570817,12.0644113,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,42,20.94723215,15.55077109,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,43,20.4006922,13.06371457,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,44,20.11252272,13.38898371,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,45,10.83500848,7.934943895,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,46,12.31283765,8.29381955,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,47,19.88941055,17.11929625,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,48,9.045577996,21.81383445,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,1,18.96589665,13.23904591,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,2,17.76835558,14.09625374,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,3,19.69034815,14.47202304,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,4,19.33321429,13.53430002,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,5,18.09753264,13.37937385,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,6,19.25529394,13.73222162,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,7,16.91957198,16.12503019,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,8,18.57981633,11.63424256,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,9,18.12667656,13.25167311,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,10,16.48923414,12.8169061,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,11,19.08061131,12.53150584,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,12,13.19503674,11.11375287,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,13,14.102036,9.540328177,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,14,14.61476517,18.40857598,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,15,9.777374603,18.45479674,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,16,16.51845512,11.33849557,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,17,18.46536263,11.85340085,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,18,18.96346984,16.51644468,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,19,17.73585331,12.66021282,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,20,18.96066694,12.77246303,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,21,19.05467821,11.35666342,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,22,18.39051917,15.0468449,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,23,19.82286784,12.88977749,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,24,17.51770954,13.7808848,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,25,18.20272852,14.15147935,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,26,17.35945443,16.09008131,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,27,11.27886147,13.17562922,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,28,13.51408267,10.63733536,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,29,14.77353173,17.72977839,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,30,8.980839607,19.44115552,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,31,19.10461111,13.92959968,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,32,20.24586051,12.46053442,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,33,21.11421336,14.69524549,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,34,17.62749321,12.48297192,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,35,20.14823406,14.41399534,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,36,15.17062367,10.3563622,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,37,14.06487661,9.998084668,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,38,17.54303888,19.04953577,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,39,8.007589498,16.72048422,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,40,17.25555849,12.43114896,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,41,19.49129574,12.46832086,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,42,18.73175487,13.5184227,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,43,17.57204619,11.45878383,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,44,18.15907521,12.55804111,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,45,11.1620296,10.88848283,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,46,13.79240894,10.30729182,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,47,13.10012567,18.13401708,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2005,48,10.64523989,23.23673213,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,1,6.944866666,18.80533884,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,2,9.313181818,19.82346625,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,3,9.634636364,19.31165999,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,4,7.6635,20.01042278,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,5,11.38802857,18.90622969,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,6,6.602925,20.25922177,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,7,7.237769231,20.70864708,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,8,6.913114286,21.88402787,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,9,8.60625,20.79674837,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,10,13.05150536,18.08979262,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,11,13.7114625,18.54785304,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,12,9.2688,17.49775052,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,13,5.372,21.72242647,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,14,9.7335,19.94271074,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,15,7.090309091,21.78619537,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,16,9.8521,20.09352638,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,17,9.892142857,19.85227634,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,18,12.19483636,18.12569273,NA,NA,NA,NA,NA,NA,NA,NA
