"","SITE","Country","Location","Lat_deg","Lat_min","Lat_ns","Long_deg","Long_min","Long_ew","Year","Yearn","Nh","Plot","G1","G2","L1","L2","E","Dens","G1_yn","G2_yn","L1_yn","L2_yn","Weed_yn","Annual_yield","Mixture_type","Sowing_method","Sep_method","Carbonates","Ec","Silt","Silt_fine","Clay","Sand","Om","Soil_type","Humidity","CA","K","N-NO3","Mg","Na","P","PH","Precip_s","Air_mean_a","Air_min_a","Air_max_a","Cp_la","Ndf_ca","Adf_ca","Ivtd_ca","Ivcwd_ca","Cp_ca","Ndf_ka","Adf_ka","Cp_ka"
"24",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,24,0.1,0.4,0.4,0.1,0.88,"Low",2.369914906,3.770631211,7.482060104,1.402048178,0.245687024,15.27034142,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,15.61996904,NA,NA,NA,NA,NA,NA,NA,NA
"25",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,25,0.1,0.4,0.1,0.4,0.88,"Low",3.04956418,4.705141182,3.34238263,2.259688766,0.225003435,13.58178019,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,15.56337424,NA,NA,NA,NA,NA,NA,NA,NA
"26",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,26,0.1,0.1,0.4,0.4,0.88,"Low",1.567966442,3.284365869,8.887323556,1.623252312,0.825300843,16.18820902,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,16.66495003,NA,NA,NA,NA,NA,NA,NA,NA
"27",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,27,1,0,0,0,0,"Low",11.64913891,0,0,0,0.562984872,12.21212378,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,10.08560186,NA,NA,NA,NA,NA,56.1661739,27.93760736,10.0693235
"28",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,28,0,1,0,0,0,"Low",0,8.263518319,0,0,0.380647874,8.644166192,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,9.780374673,NA,NA,NA,NA,NA,57.50014657,26.73313128,10.1753041
"29",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,29,0,0,1,0,0,"Low",0,0,13.84603014,0,1.188822753,15.0348529,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,18.15224087,NA,NA,NA,NA,NA,50.36203457,25.98570396,20.15273343
"30",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,30,0,0,0,1,0,"Low",0,0,0,9.278448884,1.217953379,10.49640226,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,21.41591945,NA,NA,NA,NA,NA,47.18292595,23.32254703,23.2344306
"31",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,31,0.7,0.1,0.1,0.1,0.64,"High",6.725882664,2.155543166,5.091146087,1.576469882,0.311151394,15.86019319,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,14.94517485,NA,NA,NA,NA,NA,NA,NA,NA
"32",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,32,0.1,0.7,0.1,0.1,0.64,"High",2.718699429,6.689767284,3.377778693,1.481285167,0.175753164,14.44328374,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,14.15024294,NA,NA,NA,NA,NA,NA,NA,NA
"33",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,33,0.1,0.1,0.7,0.1,0.64,"High",3.319143646,2.126611837,8.466422081,2.359562105,0.306708617,16.57844829,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,17.72366975,NA,NA,NA,NA,NA,NA,NA,NA
